Country-Region-City,Latitude,Longitude
"BRAZIL,SAO PAULO,S JOSE R PRETO",-22.087831,-43.821471
"BRAZIL,SAO PAULO,S PAULO",-23.585244,-46.723191
"BRAZIL,SAO PAULO,SANTOS",-23.9608,-46.3339
"BRAZIL,SAO PAULO,SAO JOSE DOS CAMPOS",-23.1806,-45.8907
"BRAZIL,SAO PAULO,SOROCABA",-23.5017,-47.4581
"BRAZIL,SAO PAULO,TAUBATE",-23.0314,-45.5613
"BULGARIA,_,_",42.76137671,25.23150701
"CAMBODIA,SIEM REAP PROVINCE,DAM DEK",13.259501,104.121303
"CAMBODIA,SIEM REAP PROVINCE,SIEM REAP",13.33333,103.83333
"CAMEROON,CENTRE REGION,YAOUNDE",3.864768,11.520526
"CANADA,QUEBEC,_",46.8257,-71.2349
"CANADA,_,_",55.58590129,-105.7505959
"CENTRAL AFRICAN REPUBLIC,_,_",6.57134078462119,20.48282611
"CHINA,BEIJING MUNICIPALITY,_",39.905,116.39139
"CHINA,CHONGQING MUNICIPALITY,_",29.55,106.50694
"CHINA,CY,_",25.758297,110.121626
"CHINA,GANSU PROVINCE,_",38.24243224,102.2629039
"CHINA,GUIZHOU PROVINCE,_",27.21755203,106.8243573
"CHINA,HONG KONG,HONG KONG",22.2996535,114.1675485
"CHINA,JIANGSU PROVINCE,_",32.0497095,118.7647345
"CHINA,SHANGHAI MUNICIPALITY,_",31.16667,121.46667
"CHINA,TIANJIN MUNICIPALITY,_",39.14667,117.20556
"CHINA,XINJIANG AUTONOUMOUS REGION,_",43.818435,87.581775
"CHINA,ZHEJIANG PROVINCE,_",28.72590219,120.071318
"CHINA,_,_",25.758297,110.121626
"CROATIA,_,_",42.663857,18.081771
"CZECH REPUBLIC,_,_",50.047345,14.4564
"DR CONGO,_,KINSHASA",-4.4063733,15.283487
"ECUADOR,_,_",-2.188936,-79.881704
"EGYPT,ABBASSIA,_",30.5348433,31.7170918
"EGYPT,ALEXANDRIA,_",31.2,29.91667
"EGYPT,ASSIUT,_",27.18694,31.17139
"EGYPT,CAIRO,_",30.05611,31.23944
"EGYPT,LOWER EGYPT,_",30.059844,31.337206
"EGYPT,MAHALLA,_",26.49418383,29.87190345
"EGYPT,SHEBIN,_",30.5629497,31.008665
"EGYPT,SOHAG,_",26.56056,31.69167
"EGYPT,_,ABBASSIA",30.5348433,31.7170918
"EGYPT,_,ALEXANDRIA",31.2,29.91667
"EGYPT,_,FAYOUM",29.3,30.83333
"EGYPT,_,SHEBIN",30.5629497,31.008665
"EGYPT,_,_",30.059844,31.337206
"ETHIOPIA,_,_",8.0,39.0
"FRANCE,AUVERGNE RHÔNE-ALPES,_",45.51762,4.54255
"FRANCE,BOURGOGNE FRANCHE-COMTÉ,_",47.23433,4.80681
"FRANCE,BRETAGNE,_",48.764968,2.362316
"FRANCE,CENTRE VAL DE LOIRE,_",47.5,1.75
"FRANCE,GRAND EST,_",48.6,-0.35
"FRANCE,HAUTS DE FRANCE,_",49.92056,2.70298
"FRANCE,ILE-DE-FRANCE,_",48.685746,2.166662
"FRANCE,NORMANDIE,_",44.72371,2.447158
"FRANCE,NOUVELLE AQUITAINE,_",44.8366,-0.5888
"FRANCE,OCCITANIE,_",43.634057,3.848209
"FRANCE,PAYS DE LOIRE,_",47.5185652,-1.1828686
"FRANCE,PROVENCE-ALPES-CÔTE D'AZUR,_",44.054359,5.9732
"FRANCE,_,_",43.296482,5.36978
"GHANA,ASHANTI REGION,KUMASI",6.708083,-1.613894
"GHANA,GREATER ACCRA,ACCRA",5.661083,-0.202815
"GHANA,_,KUMASI",6.708083,-1.613894
"GUATEMALA,_,_",14.617879,-90.535286
"HUNGARY,_,_",46.909892,18.05226
"INDIA,ANDHRA PRADESH,HYDERABAD",17.36667,78.46667
"INDIA,CHANDIGARH,CHANDIGARH",30.73528,76.79111
"INDIA,DELHI,DELHI",28.66667,77.21667
"INDIA,GUJARAT,SURAT",21.17,72.83
"INDIA,KARNATAKA,BANGALORE",12.96991,77.59796
"INDIA,KARNATAKA,KOLAR",13.13333,78.13333
"INDIA,KERALA,CALICUT",11.291818,75.776702
"INDIA,KERALA,TRIVANDRUM",8.542349,76.912849
"INDIA,MAHARASTRA,MUMBAI",18.96667,72.83333
"INDIA,PONDICHERRY,PONDICHERRY",11.93,79.83
"INDIA,PUNJAB,CHANDIGARH",30.73528,76.79111
"INDIA,PUNJAB,LUDHIANA",30.90833,75.84861
"INDIA,RAJASTHAN,JAIPUR",26.91667,75.86667
"INDIA,TAMIL NADU,CHENNAI",13.09,80.27
"INDIA,TAMIL NADU,COIMBATORE",11.0,76.96667
"INDIA,TAMIL NADU,DELHI",28.66667,77.21667
"INDIA,TAMIL NADU,MANIPAL",13.357135,74.784239
"INDIA,TAMIL NADU,PONDICHERRY",11.93,79.83
"INDIA,TAMIL NADU,TRIVANDRUM",8.542349,76.912849
"INDIA,TAMIL NADU,VELLORE",12.93333,79.13333
"INDIA,WEST BENGAL,KHARAGPUR",22.33028,87.32361
"INDIA,_,BANGALORE",12.96991,77.59796
"INDIA,_,CALICUT",11.291818,75.776702
"INDIA,_,CHENNAI",13.09,80.27
"INDIA,_,LUDHIANA",30.90833,75.84861
"INDIA,_,MUMBAI",18.96667,72.83333
"INDIA,_,NEW DELHI",28.7,77.2
"INDIA,_,PONDICHERRY",11.93,79.83
"INDIA,_,VELLORE",12.93333,79.13333
"INDIA,_,_",13.631307,79.424286
"INDONESIA,_,_",0.895744,100.308225
"IRELAND,EAST,_",53.3435634,-6.2775879
"IRELAND,MIDLANDS,_",53.423611, -7.9425
"IRELAND,MIDWEST,_",52.6629907,-8.6291283
"IRELAND,NORTH-EAST,_",53.9603205,-6.3861029
"IRELAND,NORTH-WEST,_",54.023246,-9.3372894
"IRELAND,SOUTH,_",51.8990032,-8.497093
"IRELAND,SOUTH-EAST,_",52.2636116,-7.123379
"IRELAND,WEST,_",53.4899149,-10.0230774
"ISRAEL,AFULA,_",32.60778,35.28972
"ISRAEL,ASKELON,_",31.66583,34.56639
"ISRAEL,BE'ER YA'ACOV,_",31.96,34.85
"ISRAEL,BNEI BRAK,_",32.08333,34.83333
"ISRAEL,EILAT,_",29.558,34.9482
"ISRAEL,HAIFA,_",32.8,34.98333
"ISRAEL,HOLON,_",32.01667,34.76667
"ISRAEL,JERUSALEM,_",31.77331512,35.18679028
"ISRAEL,KFAR SABA,_",32.175,34.9069
"ISRAEL,NAHARIYA,_",33.0049365,35.093897
"ISRAEL,NETANYA,_",32.33333,34.85
"ISRAEL,PETAH TIKVA,AR'ARA",32.4955,35.0941
"ISRAEL,PETAH TIKVA,EL'AD",32.05,34.96
"ISRAEL,PETAH TIKVA,_",32.08333,34.88333
"ISRAEL,REHOVOT,_",31.89139,34.80778
"ISRAEL,TEL AVIV,_",32.088545,34.78254
"ISRAEL,_,ABU GHOSH",31.8059,35.1093
"ISRAEL,_,ABU JUWEI'ID TRIBE",32.27,34.99
"ISRAEL,_,ABU KORINAT TRIBE",32.27,34.99
"ISRAEL,_,ABU RAKAIK TRIBE",32.27,34.99
"ISRAEL,_,ABU ROKAYEK",31.25889,34.79778
"ISRAEL,_,ABU RUBIIAHA TRIBE",32.27,34.99
"ISRAEL,_,AFULA",32.60778,35.28972
"ISRAEL,_,AHISAMAKH",31.935,34.90722
"ISRAEL,_,AKO",32.92712825,35.0833715
"ISRAEL,_,AL A'SAM TRIBE",32.27,34.99
"ISRAEL,_,AL SAYYID TRIBE",31.29,34.92
"ISRAEL,_,AL UQBI TRIBE",32.27,34.99
"ISRAEL,_,ALFEI MENASHE",32.17167,35.015
"ISRAEL,_,ALMON",29.565775,34.950036
"ISRAEL,_,AR'ARA",32.4955,35.0941
"ISRAEL,_,AR'ARA BANEGEV",31.15972,35.02361
"ISRAEL,_,AR'ARAT AN-NAQAB",31.15972,35.02361
"ISRAEL,_,ARAD",31.26028,35.21472
"ISRAEL,_,ARRABA",32.85111,35.33861
"ISRAEL,_,ASAD TRIBE",32.27,34.99
"ISRAEL,_,ASHDOD",31.79778,34.65028
"ISRAEL,_,ASHKELON",31.66583,34.56639
"ISRAEL,_,ATRASH TRIBE",31.252809,34.968354
"ISRAEL,_,AZUR",32.01667,34.81667
"ISRAEL,_,BAQA AL-GHARBIYYE",32.42033,35.04218
"ISRAEL,_,BAR AM",33.057947,35.4359615
"ISRAEL,_,BAT AYIN",31.65722,35.10226
"ISRAEL,_,BAT YAM",32.02306,34.75028
"ISRAEL,_,BEER SHEVA",31.25889,34.79778
"ISRAEL,_,BEER YAACOB",31.9425,34.833611
"ISRAEL,_,BEIT EL",31.942,35.222
"ISRAEL,_,BEIT MEIR",31.7941,35.0371
"ISRAEL,_,BEIT SHE'AN",32.5,35.5
"ISRAEL,_,BEIT SHEMESH",31.75139,34.98861
"ISRAEL,_,BEITAR ILLIT",31.32639,34.94
"ISRAEL,_,BI'INA",31.84726081,34.84199853
