GPSC,GPSC__colour
387,#A497DF
388,#DE8930
389,#57ABDE
390,#B0372E
391,#33977D
392,#E47F91
393,#3B8554
394,#E68569
395,#4E75AF
396,#9A8A32
397,#BB0049
398,#734A0B
399,#FF759F
400,#93320C
401,#FF9FB6
402,#9D2327
403,#FF9F6E
404,#CF8689
405,#FF7776
406,#FF988D
407,#A75355
408,#69B786
409,#9F592B
410,#2F7B63
411,#D59D6A
412,#1A6447
413,#C0B46F
414,#296437
415,#90692C
416,#4D662B
417,#6E6517
418,#849357
419,#726C37
420,#D1613E
421,#5E64D7
422,#61C145
423,#9B54CB
424,#98C037
425,#D05CC6
426,#43C86E
427,#E54181
428,#5F9823
429,#CE4F9D
430,#388F3D
431,#8851A2
432,#B4B43B
433,#6080DF
434,#E6A42C
435,#5C6BAB
436,#E04E2B
437,#4BCBD0
438,#BF2D3C
439,#5AC897
440,#B03565
441,#7FBA69
442,#C493DD
443,#516912
444,#E484AF
445,#507F36
446,#E75967
447,#2EA59B
448,#A53F1C
449,#61A2DA
450,#C57324
451,#24765A
452,#ED864C
453,#2D7442
454,#A76497
455,#828931
456,#924869
457,#55A479
458,#A55155
459,#9A4876
460,#E78F94
461,#505E26
462,#DB7D6B
463,#3C9779
464,#995637
465,#CA9E3D
466,#6D6217
467,#D79E6C
468,#916127
469,#9F813E
470,#38C481
471,#A253D2
472,#5BC452
473,#C746B6
474,#429532
475,#585FD8
476,#B4B92E
477,#517AE6
478,#8CB844
479,#6B51B2
480,#D6AB3D
481,#AA81E6
482,#597F24
483,#E34795
484,#529659
485,#9349A2
486,#898E31
487,#E181D8
488,#2F7038
489,#B13D83
490,#79C38D
491,#DF4150
492,#4DCBC1
493,#E46230
494,#4CBEE0
495,#B33922
496,#4F9AD7
497,#DD8B31
498,#445EAC
499,#A4802C
500,#7C8FE0
501,#BCB86C
502,#7B60A4
503,#576321
504,#B9A1E1
505,#9E582A
506,#4B6DA6
507,#DF7A5B
508,#399D85
509,#C33B62
510,#7E97E1
511,#DF82AB
512,#859458
513,#B374B3
514,#84662E
515,#924F77
516,#DB9E6E
517,#9E4A55
518,#E79193
519,#D36B6F
520,#53A7D7
521,#E45E30
522,#4457CA
523,#B6C233
524,#9C4AC7
525,#54C65F
526,#CE47A8
527,#7DB838
528,#6A77F0
529,#41922E
530,#D774E0
531,#AAAA3D
532,#7153BA
533,#CEA339
534,#7775D0
535,#E08D32
536,#5390E2
537,#AA4D1C
538,#45C7C8
539,#D3337B
540,#62C892
541,#90469F
542,#67852A
543,#BE8AE3
544,#4A9B5C
545,#E34B5A
546,#3F9F84
547,#B93131
548,#35744B
549,#EA628D
550,#277257
551,#A83D5B
552,#9FB86F
553,#6B559B
554,#7E701D
555,#4167A5
556,#E2815E
557,#9D9ADC
558,#505D19
559,#A76BAB
560,#6A733A
561,#E491C3
562,#988E4E
563,#944377
564,#D7A671
565,#C16993
566,#9E6B32
567,#DD81AA
568,#DB8282
569,#A14E3D
570,#AA4260
571,#49AA33
572,#9B3EB3
573,#8EBE36
574,#A86BE7
575,#59CA69
576,#CE41A7
577,#4D8729
578,#DE75E0
579,#B6B438
580,#6452C0
581,#DAAE40
582,#6079E8
583,#E08D33
584,#4B62A8
585,#D96327
586,#52B7E5
587,#CF402B
588,#7E3E53
589,#4FD256
590,#8B39B6
591,#43AC2D
592,#9366E9
593,#7CCB4A
594,#BF209E
595,#35CF70
596,#AB3EB6
597,#2C9019
598,#D96BE5
599,#41B352
600,#E45BC7
601,#6DA220
602,#4E5CD5
603,#B2C22F
604,#B868DF
605,#7CBC4A
606,#D0379B
607,#7FD070
608,#B13394
609,#358528
610,#DF3891
611,#4DCC93
612,#EA377D
613,#5EBF72
614,#9F52B6
615,#A2C04B
616,#4483F2
617,#EB9519
618,#4362C2
619,#D5B731
620,#654BAC
621,#DEA62A
622,#9279E6
623,#849C2D
624,#EA87EA
625,#359E58
626,#EA60B2
627,#79B55A
628,#872B83
629,#BFB045
630,#3175C9
631,#E37021
632,#748FEC
633,#B38B19
634,#B586E2
635,#4F791F
636,#9C3F97
637,#247A3A
638,#E0234D
639,#40D5D9
640,#C7291E
641,#34B9E1
642,#E75B2B
643,#4E9CE2
644,#B54311
645,#70BDF0
646,#E94C42
647,#5FD2B8
648,#C82E3C
649,#41BECA
650,#EF5459
651,#258E62
652,#EE4D69
653,#55B495
654,#C82951
655,#56A476
656,#CD4281
657,#709D4C
658,#B85AB2
659,#757913
660,#824598
661,#EFB454
662,#7F61B4
663,#E58D37
664,#5272B1
665,#B8621C
666,#8F98E5
667,#B5731F
668,#535797
669,#E19D4F
670,#377DA9
671,#ED674D
672,#319C9A
673,#E24E75
674,#89C080
675,#DD77C7
676,#445A06
677,#DE91D9
678,#3E7030
679,#F1709D
680,#235E31
681,#EC89BC
682,#588A48
683,#A1468A
684,#A1B86C
685,#9D316C
686,#5E7222
687,#B36AB0
688,#415A1F
689,#C7A9ED
690,#956F22
691,#8478BC
692,#BC9449
693,#794D8B
694,#B3B370
695,#AC80C6
696,#B49B00
697,#CB679F
698,#367042
699,#B02D55
700,#4A8A63
701,#C14F7D
702,#9C465D
703,#EA675F
704,#64CA5C
705,#BE452D
706,#659CCC
707,#9C3116
708,#9C9ED9
709,#DB7243
710,#9441BA
711,#B43836
712,#AFD35F
713,#A32A3B
714,#58A629
715,#CE5360
716,#C96ADF
717,#E46F84
718,#A4BB2F
719,#F5847E
720,#4C5FD5
721,#F49264
